,Kruskal_time,Prim_time,Num_of_nodes,Completeness
515,0.02931,0.08972,160.0,6.0
516,0.02869,0.08717,160.0,7.0
517,0.02747,0.08671,160.0,8.0
518,0.02754,0.08961,160.0,9.0
519,0.02868,0.08838,160.0,10.0
520,0.02811,0.08788,160.0,1.0
521,0.02733,0.08664,160.0,2.0
522,0.0272,0.08665,160.0,3.0
523,0.02749,0.08689,160.0,4.0
524,0.02916,0.09092,160.0,5.0
525,0.02803,0.08884,160.0,6.0
526,0.02816,0.08947,160.0,7.0
527,0.02806,0.08663,160.0,8.0
528,0.02859,0.08667,160.0,9.0
529,0.02743,0.08682,160.0,10.0
530,0.02737,0.0863,160.0,1.0
531,0.02732,0.08679,160.0,2.0
532,0.02747,0.08721,160.0,3.0
533,0.02793,0.08751,160.0,4.0
534,0.02829,0.08831,160.0,5.0
535,0.02905,0.08804,160.0,6.0
536,0.02721,0.0862,160.0,7.0
537,0.02737,0.08785,160.0,8.0
538,0.02861,0.08804,160.0,9.0
539,0.02748,0.08825,160.0,10.0
540,0.02799,0.08741,160.0,1.0
541,0.02761,0.08734,160.0,2.0
542,0.02769,0.08715,160.0,3.0
543,0.02933,0.08733,160.0,4.0
544,0.02761,0.08697,160.0,5.0
545,0.02745,0.08709,160.0,6.0
546,0.02824,0.09066,160.0,7.0
547,0.02801,0.08856,160.0,8.0
548,0.02777,0.08649,160.0,9.0
549,0.02709,0.0872,160.0,10.0
550,0.02199,0.0716,150.0,1.0
551,0.0218,0.07352,150.0,2.0
552,0.0231,0.07454,150.0,3.0
553,0.02459,0.07431,150.0,4.0
554,0.0229,0.07413,150.0,5.0
555,0.02317,0.07421,150.0,6.0
556,0.02204,0.07216,150.0,7.0
557,0.02267,0.07241,150.0,8.0
558,0.02193,0.0713,150.0,9.0
559,0.02191,0.07122,150.0,10.0
560,0.0217,0.07259,150.0,1.0
561,0.02189,0.07237,150.0,2.0
562,0.02302,0.07194,150.0,3.0
563,0.02195,0.07745,150.0,4.0
564,0.02205,0.07225,150.0,5.0
565,0.02222,0.0727,150.0,6.0
566,0.02329,0.07598,150.0,7.0
567,0.02229,0.07205,150.0,8.0
568,0.02235,0.07242,150.0,9.0
569,0.02219,0.07145,150.0,10.0
570,0.02188,0.0716,150.0,1.0
571,0.02192,0.07132,150.0,2.0
572,0.02179,0.0715,150.0,3.0
573,0.02202,0.07139,150.0,4.0
574,0.02194,0.07171,150.0,5.0
575,0.02213,0.07253,150.0,6.0
576,0.02385,0.07471,150.0,7.0
577,0.02312,0.07169,150.0,8.0
578,0.02194,0.0717,150.0,9.0
579,0.02185,0.07244,150.0,10.0
580,0.02301,0.07436,150.0,1.0
581,0.02315,0.07465,150.0,2.0
582,0.02366,0.07441,150.0,3.0
583,0.02313,0.07398,150.0,4.0
584,0.02387,0.07474,150.0,5.0
585,0.02232,0.07233,150.0,6.0
586,0.02307,0.07195,150.0,7.0
587,0.02175,0.07142,150.0,8.0
588,0.02172,0.07241,150.0,9.0
589,0.02181,0.07127,150.0,10.0
590,0.02178,0.0713,150.0,1.0
591,0.02201,0.07164,150.0,2.0
592,0.0221,0.07179,150.0,3.0
